['21.29', '34.00', '24.00']
['19.82', '35.00', '24.00']
['20.31', '35.00', '28.00']
['20.31', '37.00', '28.00']
['20.80', '37.00', '27.00']
['20.80', '36.00', '27.00']
['20.31', '37.00', '26.00']
['20.80', '36.00', '26.00']
['20.31', '35.00', '26.00']
['19.82', '34.00', '25.00']
['19.82', '35.00', '25.00']
['20.31', '34.00', '25.00']
['20.31', '34.00', '25.00']
['20.31', '34.00', '25.00']
['19.82', '34.00', '25.00']
['19.82', '35.00', '24.00']
['19.82', '35.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.80', '35.00', '26.00']
['20.31', '34.00', '25.00']
['20.80', '35.00', '26.00']
['20.31', '35.00', '26.00']
['20.80', '35.00', '26.00']
['20.31', '34.00', '25.00']
['20.31', '34.00', '25.00']
['20.31', '34.00', '25.00']
['20.31', '34.00', '25.00']
['19.82', '34.00', '25.00']
['20.31', '34.00', '25.00']
['19.82', '33.00', '25.00']
['20.80', '33.00', '25.00']
['19.82', '33.00', '25.00']
['19.82', '34.00', '24.00']
['19.82', '34.00', '24.00']
['19.82', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.31', '34.00', '24.00']
['19.82', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['19.82', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['16.89', '34.00', '24.00']
['20.80', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['19.82', '34.00', '24.00']
['19.82', '34.00', '24.00']
['19.82', '34.00', '24.00']
['19.82', '34.00', '23.00']
['19.34', '34.00', '24.00']
['19.82', '34.00', '23.00']
['19.82', '34.00', '23.00']
['19.82', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['19.82', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.31', '34.00', '24.00']
['20.80', '33.00', '25.00']
['20.80', '33.00', '25.00']
['20.80', '33.00', '25.00']
['20.80', '33.00', '25.00']
['20.31', '33.00', '25.00']
['20.31', '33.00', '25.00']
['20.31', '33.00', '25.00']
['20.80', '33.00', '25.00']
['20.80', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.80', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '36.00', '29.00']
['20.31', '35.00', '28.00']
['19.82', '37.00', '29.00']
['20.31', '38.00', '28.00']
['20.80', '38.00', '28.00']
['20.31', '37.00', '27.00']
['20.80', '36.00', '27.00']
['21.29', '36.00', '26.00']
['20.80', '36.00', '26.00']
['20.31', '35.00', '26.00']
['19.82', '35.00', '26.00']
['20.31', '34.00', '25.00']
['20.80', '34.00', '25.00']
['19.82', '34.00', '25.00']
['19.82', '34.00', '25.00']
['19.82', '34.00', '25.00']
['19.82', '33.00', '25.00']
['20.31', '33.00', '25.00']
['20.80', '33.00', '25.00']
['20.80', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.80', '34.00', '24.00']
['19.82', '34.00', '24.00']
['19.34', '34.00', '24.00']
['20.31', '34.00', '24.00']
['19.82', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.31', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.80', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.31', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.31', '34.00', '24.00']
['19.34', '34.00', '24.00']
['19.34', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['19.82', '35.00', '26.00']
['19.34', '37.00', '29.00']
['19.82', '38.00', '28.00']
['20.80', '39.00', '28.00']
['20.80', '39.00', '28.00']
['20.80', '38.00', '28.00']
['19.82', '38.00', '26.00']
['20.31', '38.00', '26.00']
['20.80', '37.00', '26.00']
['20.80', '37.00', '26.00']
['20.80', '36.00', '26.00']
['20.80', '36.00', '25.00']
['20.31', '35.00', '25.00']
['20.80', '35.00', '25.00']
['20.80', '34.00', '25.00']
['17.38', '34.00', '25.00']
['20.31', '34.00', '25.00']
['20.31', '34.00', '25.00']
['20.31', '35.00', '24.00']
['20.80', '35.00', '24.00']
['20.80', '35.00', '24.00']
['19.82', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.31', '34.00', '24.00']
['21.29', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.80', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.31', '34.00', '24.00']
['18.85', '34.00', '24.00']
['19.34', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['19.34', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.31', '34.00', '23.00']
['19.34', '34.00', '23.00']
['19.34', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.80', '34.00', '23.00']
['19.82', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.31', '34.00', '23.00']
['18.85', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.80', '34.00', '24.00']
['20.31', '35.00', '27.00']
['20.31', '34.00', '27.00']
['20.31', '35.00', '27.00']
['19.82', '35.00', '26.00']
['19.34', '35.00', '26.00']
['20.80', '34.00', '26.00']
['18.85', '34.00', '23.00']
['19.82', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.80', '34.00', '23.00']
['19.82', '34.00', '23.00']
['18.85', '34.00', '23.00']
['19.34', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['18.85', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.80', '34.00', '24.00']
['19.34', '34.00', '28.00']
['19.82', '34.00', '28.00']
['20.80', '35.00', '28.00']
['20.80', '35.00', '27.00']
['20.80', '36.00', '26.00']
['19.82', '35.00', '26.00']
['20.80', '34.00', '25.00']
['20.80', '34.00', '25.00']
['19.34', '34.00', '25.00']
['18.85', '34.00', '25.00']
['20.80', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.80', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.80', '34.00', '24.00']
['19.34', '34.00', '24.00']
['19.82', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.80', '34.00', '24.00']
['19.34', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.31', '34.00', '24.00']
['20.31', '34.00', '24.00']
['19.34', '34.00', '24.00']
['20.80', '34.00', '24.00']
['20.31', '34.00', '24.00']
['18.85', '34.00', '23.00']
['18.85', '34.00', '24.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['18.85', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.80', '34.00', '23.00']
['18.85', '34.00', '23.00']
['17.87', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.31', '34.00', '23.00']
['19.82', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['18.85', '34.00', '23.00']
['19.82', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['19.82', '34.00', '23.00']
['20.31', '34.00', '23.00']
['19.82', '34.00', '23.00']
['20.31', '34.00', '23.00']
['18.85', '34.00', '23.00']
['19.82', '34.00', '23.00']
['19.82', '34.00', '23.00']
['20.80', '34.00', '23.00']
['19.82', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '34.00', '23.00']
['19.34', '34.00', '23.00']
['19.34', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.80', '34.00', '23.00']
['19.82', '34.00', '23.00']
['20.80', '34.00', '23.00']
['20.31', '34.00', '23.00']
['20.31', '36.00', '27.00']
['20.80', '37.00', '26.00']
['20.80', '37.00', '27.00']
['20.80', '37.00', '27.00']
['20.80', '37.00', '27.00']
['19.82', '38.00', '26.00']
['19.82', '38.00', '26.00']
['20.31', '38.00', '26.00']
['23.73', '34.00', '24.00']
['23.24', '34.00', '24.00']
['23.24', '34.00', '24.00']
['23.73', '34.00', '24.00']
['23.73', '33.00', '24.00']
['23.24', '34.00', '24.00']
['23.24', '34.00', '24.00']
['22.75', '34.00', '24.00']
['22.75', '34.00', '24.00']
['23.24', '34.00', '24.00']
['23.24', '32.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '34.00', '24.00']
['23.24', '32.00', '25.00']
['23.24', '33.00', '25.00']
['23.73', '32.00', '25.00']
['22.75', '32.00', '25.00']
['23.73', '33.00', '25.00']
['23.24', '33.00', '25.00']
['22.75', '33.00', '25.00']
['23.24', '33.00', '25.00']
['22.75', '33.00', '25.00']
['23.73', '33.00', '25.00']
['23.24', '33.00', '25.00']
['22.27', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.73', '33.00', '25.00']
['22.27', '33.00', '25.00']
['23.24', '32.00', '25.00']
['22.27', '32.00', '25.00']
['22.27', '34.00', '24.00']
['23.24', '35.00', '29.00']
['23.24', '35.00', '29.00']
['22.75', '35.00', '29.00']
['22.75', '35.00', '28.00']
['23.24', '35.00', '28.00']
['23.24', '35.00', '27.00']
['23.24', '34.00', '27.00']
['22.75', '35.00', '26.00']
['22.75', '34.00', '26.00']
['22.27', '34.00', '26.00']
['23.24', '34.00', '26.00']
['23.24', '33.00', '26.00']
['22.75', '33.00', '25.00']
['22.75', '33.00', '25.00']
['22.27', '33.00', '25.00']
['22.75', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['22.75', '33.00', '25.00']
['22.75', '33.00', '25.00']
['22.75', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.73', '33.00', '25.00']
['22.75', '33.00', '25.00']
['22.75', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.73', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['22.75', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['21.78', '33.00', '25.00']
['22.75', '33.00', '25.00']
['22.75', '33.00', '25.00']
['22.75', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['22.75', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '34.00', '29.00']
['23.24', '34.00', '29.00']
['23.24', '35.00', '28.00']
['23.24', '34.00', '28.00']
['23.24', '34.00', '28.00']
['22.75', '34.00', '27.00']
['22.75', '34.00', '26.00']
['23.24', '34.00', '26.00']
['23.24', '34.00', '26.00']
['22.75', '33.00', '26.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['22.75', '33.00', '25.00']
['23.24', '33.00', '25.00']
['22.75', '33.00', '25.00']
['22.75', '33.00', '25.00']
['23.24', '33.00', '25.00']
['22.75', '33.00', '25.00']
['23.24', '33.00', '25.00']
['22.75', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['22.75', '33.00', '25.00']
['22.75', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['22.75', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['22.27', '33.00', '25.00']
['22.75', '33.00', '25.00']
['22.75', '33.00', '25.00']
['22.27', '33.00', '29.00']
['22.75', '34.00', '28.00']
['21.78', '33.00', '28.00']
['22.75', '33.00', '27.00']
['23.24', '33.00', '27.00']
['21.78', '34.00', '24.00']
['21.78', '33.00', '25.00']
['23.24', '33.00', '25.00']
['21.29', '33.00', '25.00']
['22.27', '33.00', '25.00']
['21.29', '33.00', '25.00']
['22.75', '33.00', '25.00']
['22.75', '33.00', '25.00']
['23.24', '33.00', '25.00']
['22.75', '32.00', '25.00']
['21.29', '34.00', '24.00']
['22.27', '33.00', '25.00']
['23.24', '33.00', '25.00']
['22.75', '33.00', '25.00']
['22.75', '33.00', '25.00']
['22.75', '33.00', '25.00']
['21.78', '33.00', '25.00']
['23.24', '35.00', '30.00']
['23.24', '36.00', '29.00']
['23.24', '37.00', '29.00']
['23.24', '37.00', '29.00']
['21.78', '38.00', '28.00']
['21.78', '37.00', '28.00']
['22.27', '37.00', '27.00']
['23.24', '36.00', '27.00']
['22.75', '37.00', '26.00']
['22.27', '37.00', '26.00']
['21.78', '36.00', '26.00']
['21.78', '35.00', '26.00']
['23.24', '35.00', '26.00']
['22.27', '35.00', '25.00']
['23.24', '34.00', '25.00']
['22.27', '34.00', '25.00']
['22.75', '34.00', '25.00']
['21.78', '34.00', '25.00']
['21.29', '33.00', '25.00']
['23.24', '33.00', '25.00']
['21.29', '33.00', '25.00']
['22.27', '33.00', '25.00']
['22.75', '33.00', '25.00']
['21.78', '33.00', '25.00']
['22.75', '33.00', '25.00']
['21.29', '33.00', '25.00']
['22.27', '33.00', '25.00']
['23.24', '33.00', '25.00']
['22.27', '33.00', '25.00']
['22.75', '33.00', '25.00']
['22.75', '33.00', '25.00']
['21.78', '33.00', '25.00']
['22.75', '33.00', '25.00']
['21.78', '35.00', '31.00']
['23.24', '36.00', '30.00']
['22.75', '38.00', '29.00']
['22.75', '38.00', '29.00']
['23.24', '39.00', '28.00']
['21.78', '39.00', '28.00']
['22.75', '39.00', '28.00']
['22.75', '39.00', '27.00']
['23.24', '39.00', '27.00']
['22.75', '40.00', '26.00']
['20.80', '36.00', '25.00']
['23.24', '36.00', '25.00']
['22.27', '35.00', '25.00']
['23.24', '35.00', '25.00']
['22.75', '35.00', '25.00']
['22.27', '35.00', '25.00']
['22.75', '35.00', '25.00']
['23.24', '35.00', '25.00']
['22.75', '35.00', '25.00']
['21.78', '35.00', '25.00']
['23.24', '35.00', '25.00']
['22.75', '34.00', '25.00']
['22.75', '34.00', '25.00']
['22.75', '34.00', '25.00']
['22.75', '34.00', '25.00']
['22.75', '34.00', '25.00']
['21.29', '34.00', '25.00']
['21.78', '34.00', '25.00']
['22.75', '34.00', '25.00']
['23.24', '34.00', '25.00']
['22.75', '34.00', '25.00']
['22.27', '34.00', '25.00']
['23.24', '33.00', '25.00']
['23.24', '33.00', '25.00']
['21.78', '34.00', '24.00']
['26.66', '33.00', '27.00']
['26.17', '32.00', '29.00']
['25.20', '33.00', '28.00']
['26.17', '33.00', '28.00']
['26.66', '33.00', '27.00']
['25.20', '33.00', '25.00']
['25.68', '33.00', '25.00']
['26.17', '33.00', '25.00']
['25.20', '33.00', '26.00']
['26.17', '33.00', '28.00']
['25.68', '33.00', '29.00']
['26.66', '34.00', '28.00']
['26.66', '34.00', '27.00']
['26.17', '34.00', '27.00']
['26.66', '33.00', '27.00']
['24.71', '32.00', '25.00']
['26.17', '32.00', '25.00']
['26.66', '32.00', '25.00']
['25.68', '33.00', '25.00']
